"_v","_u"
3.78,-3.456
3.78,-3.384
3.78,-3.312
3.78,-3.24
3.78,-3.168
3.78,-3.096
3.78,-3.024
3.78,-2.952
3.78,-2.88
3.78,-2.808
3.78,-2.736
3.78,-2.664
3.78,-2.592
3.78,-2.52
3.78,-2.448
3.78,-2.376
3.78,-2.304
3.78,-2.232
3.78,-2.16
3.78,-2.088
3.78,-2.016
3.78,-1.944
3.78,-1.872
3.78,-1.8
3.78,-1.728
3.78,-1.656
3.78,-1.584
3.78,-1.512
3.78,-1.44
3.78,-1.368
3.78,-1.296
3.78,-1.224
3.78,-1.152
3.78,-1.08
3.78,-1.008
3.78,-0.936
3.78,-0.864
3.78,-0.792
3.78,-0.72
3.78,-0.648
3.78,-0.576
3.78,-0.504
3.78,-0.432
3.78,-0.36
3.78,-0.288
3.78,-0.216
3.78,-0.144
3.78,-0.072
3.78,0
3.78,0.072
3.78,0.144
3.78,0.216
3.78,0.288
3.78,0.36
3.78,0.432
3.78,0.504
3.78,0.576
3.78,0.648
3.78,0.72
3.78,0.792
3.78,0.864
3.78,0.936
3.78,1.008
3.78,1.08
3.78,1.152
3.78,1.224
3.78,1.296
3.78,1.368
3.78,1.44
3.78,1.512
3.78,1.584
3.78,1.656
3.78,1.728
3.78,1.8
3.78,1.872
3.78,1.944
3.78,2.016
3.78,2.088
3.78,2.16
3.78,2.232
3.78,2.304
3.78,2.376
3.78,2.448
3.78,2.52
3.78,2.592
3.78,2.664
3.78,2.736
3.78,2.808
3.78,2.88
3.78,2.952
3.78,3.024
3.78,3.096
3.78,3.168
3.78,3.24
3.78,3.312
3.78,3.384
3.78,3.456
3.78,3.528
3.78,3.6
3.87,-3.6
3.87,-3.528
3.87,-3.456
3.87,-3.384
3.87,-3.312
3.87,-3.24
3.87,-3.168
3.87,-3.096
3.87,-3.024
3.87,-2.952
3.87,-2.88
3.87,-2.808
3.87,-2.736
3.87,-2.664
3.87,-2.592
3.87,-2.52
3.87,-2.448
3.87,-2.376
3.87,-2.304
3.87,-2.232
3.87,-2.16
3.87,-2.088
3.87,-2.016
3.87,-1.944
3.87,-1.872
3.87,-1.8
3.87,-1.728
3.87,-1.656
3.87,-1.584
3.87,-1.512
3.87,-1.44
3.87,-1.368
3.87,-1.296
3.87,-1.224
3.87,-1.152
3.87,-1.08
3.87,-1.008
3.87,-0.936
3.87,-0.864
3.87,-0.792
3.87,-0.72
3.87,-0.648
3.87,-0.576
3.87,-0.504
3.87,-0.432
3.87,-0.36
3.87,-0.288
3.87,-0.216
3.87,-0.144
3.87,-0.072
3.87,0
3.87,0.072
3.87,0.144
3.87,0.216
3.87,0.288
3.87,0.36
3.87,0.432
3.87,0.504
3.87,0.576
3.87,0.648
3.87,0.72
3.87,0.792
3.87,0.864
3.87,0.936
3.87,1.008
3.87,1.08
3.87,1.152
3.87,1.224
3.87,1.296
3.87,1.368
3.87,1.44
3.87,1.512
3.87,1.584
3.87,1.656
3.87,1.728
3.87,1.8
3.87,1.872
3.87,1.944
3.87,2.016
3.87,2.088
3.87,2.16
3.87,2.232
3.87,2.304
3.87,2.376
3.87,2.448
3.87,2.52
3.87,2.592
3.87,2.664
3.87,2.736
3.87,2.808
3.87,2.88
3.87,2.952
3.87,3.024
3.87,3.096
3.87,3.168
3.87,3.24
3.87,3.312
3.87,3.384
3.87,3.456
3.87,3.528
3.87,3.6
3.96,-3.6
3.96,-3.528
3.96,-3.456
3.96,-3.384
3.96,-3.312
3.96,-3.24
3.96,-3.168
3.96,-3.096
3.96,-3.024
3.96,-2.952
3.96,-2.88
3.96,-2.808
3.96,-2.736
3.96,-2.664
3.96,-2.592
3.96,-2.52
3.96,-2.448
3.96,-2.376
3.96,-2.304
3.96,-2.232
3.96,-2.16
3.96,-2.088
3.96,-2.016
3.96,-1.944
3.96,-1.872
3.96,-1.8
3.96,-1.728
3.96,-1.656
3.96,-1.584
3.96,-1.512
3.96,-1.44
3.96,-1.368
3.96,-1.296
3.96,-1.224
3.96,-1.152
3.96,-1.08
3.96,-1.008
3.96,-0.936
3.96,-0.864
3.96,-0.792
3.96,-0.72
3.96,-0.648
3.96,-0.576
3.96,-0.504
3.96,-0.432
3.96,-0.36
3.96,-0.288
3.96,-0.216
3.96,-0.144
3.96,-0.072
3.96,0
3.96,0.072
3.96,0.144
3.96,0.216
3.96,0.288
3.96,0.36
3.96,0.432
3.96,0.504
3.96,0.576
3.96,0.648
3.96,0.72
3.96,0.792
3.96,0.864
3.96,0.936
3.96,1.008
3.96,1.08
3.96,1.152
3.96,1.224
3.96,1.296
3.96,1.368
3.96,1.44
3.96,1.512
3.96,1.584
3.96,1.656
3.96,1.728
3.96,1.8
3.96,1.872
3.96,1.944
3.96,2.016
3.96,2.088
3.96,2.16
3.96,2.232
3.96,2.304
3.96,2.376
3.96,2.448
3.96,2.52
3.96,2.592
3.96,2.664
3.96,2.736
3.96,2.808
3.96,2.88
3.96,2.952
3.96,3.024
3.96,3.096
3.96,3.168
3.96,3.24
3.96,3.312
3.96,3.384
3.96,3.456
3.96,3.528
3.96,3.6
4.05,-3.6
4.05,-3.528
4.05,-3.456
4.05,-3.384
4.05,-3.312
4.05,-3.24
4.05,-3.168
4.05,-3.096
4.05,-3.024
4.05,-2.952
4.05,-2.88
4.05,-2.808
4.05,-2.736
4.05,-2.664
4.05,-2.592
4.05,-2.52
4.05,-2.448
4.05,-2.376
4.05,-2.304
4.05,-2.232
4.05,-2.16
4.05,-2.088
4.05,-2.016
4.05,-1.944
4.05,-1.872
4.05,-1.8
4.05,-1.728
4.05,-1.656
4.05,-1.584
4.05,-1.512
4.05,-1.44
4.05,-1.368
4.05,-1.296
4.05,-1.224
4.05,-1.152
4.05,-1.08
4.05,-1.008
4.05,-0.936
4.05,-0.864
4.05,-0.792
4.05,-0.72
4.05,-0.648
4.05,-0.576
4.05,-0.504
4.05,-0.432
4.05,-0.36
4.05,-0.288
4.05,-0.216
4.05,-0.144
4.05,-0.072
4.05,0
4.05,0.072
4.05,0.144
4.05,0.216
4.05,0.288
4.05,0.36
4.05,0.432
4.05,0.504
4.05,0.576
4.05,0.648
4.05,0.72
4.05,0.792
4.05,0.864
4.05,0.936
4.05,1.008
4.05,1.08
4.05,1.152
4.05,1.224
4.05,1.296
4.05,1.368
4.05,1.44
4.05,1.512
4.05,1.584
4.05,1.656
4.05,1.728
4.05,1.8
4.05,1.872
4.05,1.944
4.05,2.016
4.05,2.088
4.05,2.16
4.05,2.232
4.05,2.304
4.05,2.376
4.05,2.448
4.05,2.52
4.05,2.592
4.05,2.664
4.05,2.736
4.05,2.808
4.05,2.88
4.05,2.952
4.05,3.024
4.05,3.096
4.05,3.168
4.05,3.24
4.05,3.312
4.05,3.384
4.05,3.456
4.05,3.528
4.05,3.6
4.14,-3.6
4.14,-3.528
4.14,-3.456
4.14,-3.384
4.14,-3.312
4.14,-3.24
4.14,-3.168
4.14,-3.096
4.14,-3.024
4.14,-2.952
4.14,-2.88
4.14,-2.808
4.14,-2.736
4.14,-2.664
4.14,-2.592
4.14,-2.52
4.14,-2.448
4.14,-2.376
4.14,-2.304
4.14,-2.232
4.14,-2.16
4.14,-2.088
4.14,-2.016
4.14,-1.944
4.14,-1.872
4.14,-1.8
4.14,-1.728
4.14,-1.656
4.14,-1.584
4.14,-1.512
4.14,-1.44
4.14,-1.368
4.14,-1.296
4.14,-1.224
4.14,-1.152
4.14,-1.08
4.14,-1.008
4.14,-0.936
4.14,-0.864
4.14,-0.792
4.14,-0.72
4.14,-0.648
4.14,-0.576
4.14,-0.504
4.14,-0.432
4.14,-0.36
4.14,-0.288
4.14,-0.216
4.14,-0.144
4.14,-0.072
4.14,0
4.14,0.072
4.14,0.144
4.14,0.216
4.14,0.288
4.14,0.36
4.14,0.432
4.14,0.504
4.14,0.576
4.14,0.648
4.14,0.72
4.14,0.792
4.14,0.864
4.14,0.936
4.14,1.008
4.14,1.08
4.14,1.152
4.14,1.224
4.14,1.296
4.14,1.368
4.14,1.44
4.14,1.512
4.14,1.584
4.14,1.656
4.14,1.728
4.14,1.8
4.14,1.872
4.14,1.944
4.14,2.016
4.14,2.088
4.14,2.16
4.14,2.232
4.14,2.304
4.14,2.376
4.14,2.448
4.14,2.52
4.14,2.592
4.14,2.664
4.14,2.736
4.14,2.808
4.14,2.88
4.14,2.952
4.14,3.024
4.14,3.096
4.14,3.168
4.14,3.24
4.14,3.312
4.14,3.384
4.14,3.456
4.14,3.528
4.14,3.6
4.23,-3.6
4.23,-3.528
4.23,-3.456
4.23,-3.384
4.23,-3.312
4.23,-3.24
4.23,-3.168
4.23,-3.096
4.23,-3.024
4.23,-2.952
4.23,-2.88
4.23,-2.808
4.23,-2.736
4.23,-2.664
4.23,-2.592
4.23,-2.52
4.23,-2.448
4.23,-2.376
4.23,-2.304
4.23,-2.232
4.23,-2.16
4.23,-2.088
4.23,-2.016
4.23,-1.944
4.23,-1.872
4.23,-1.8
4.23,-1.728
4.23,-1.656
4.23,-1.584
4.23,-1.512
4.23,-1.44
4.23,-1.368
4.23,-1.296
4.23,-1.224
4.23,-1.152
4.23,-1.08
4.23,-1.008
4.23,-0.936
4.23,-0.864
4.23,-0.792
4.23,-0.72
4.23,-0.648
4.23,-0.576
4.23,-0.504
4.23,-0.432
4.23,-0.36
4.23,-0.288
4.23,-0.216
4.23,-0.144
4.23,-0.072
4.23,0
4.23,0.072
4.23,0.144
4.23,0.216
4.23,0.288
4.23,0.36
4.23,0.432
4.23,0.504
4.23,0.576
4.23,0.648
4.23,0.72
4.23,0.792
4.23,0.864
4.23,0.936
4.23,1.008
4.23,1.08
4.23,1.152
4.23,1.224
4.23,1.296
4.23,1.368
4.23,1.44
4.23,1.512
4.23,1.584
4.23,1.656
4.23,1.728
4.23,1.8
4.23,1.872
4.23,1.944
4.23,2.016
4.23,2.088
4.23,2.16
4.23,2.232
4.23,2.304
4.23,2.376
4.23,2.448
4.23,2.52
4.23,2.592
4.23,2.664
4.23,2.736
4.23,2.808
4.23,2.88
4.23,2.952
4.23,3.024
4.23,3.096
4.23,3.168
4.23,3.24
4.23,3.312
4.23,3.384
4.23,3.456
4.23,3.528
4.23,3.6
4.32,-3.6
4.32,-3.528
4.32,-3.456
4.32,-3.384
4.32,-3.312
4.32,-3.24
4.32,-3.168
4.32,-3.096
4.32,-3.024
4.32,-2.952
4.32,-2.88
4.32,-2.808
4.32,-2.736
4.32,-2.664
4.32,-2.592
4.32,-2.52
4.32,-2.448
4.32,-2.376
4.32,-2.304
4.32,-2.232
4.32,-2.16
4.32,-2.088
4.32,-2.016
4.32,-1.944
4.32,-1.872
4.32,-1.8
4.32,-1.728
4.32,-1.656
4.32,-1.584
4.32,-1.512
4.32,-1.44
4.32,-1.368
4.32,-1.296
4.32,-1.224
4.32,-1.152
4.32,-1.08
4.32,-1.008
4.32,-0.936
4.32,-0.864
4.32,-0.792
4.32,-0.72
4.32,-0.648
4.32,-0.576
4.32,-0.504
4.32,-0.432
4.32,-0.36
4.32,-0.288
4.32,-0.216
4.32,-0.144
4.32,-0.072
4.32,0
4.32,0.072
4.32,0.144
4.32,0.216
4.32,0.288
4.32,0.36
4.32,0.432
4.32,0.504
4.32,0.576
4.32,0.648
4.32,0.72
4.32,0.792
4.32,0.864
4.32,0.936
4.32,1.008
4.32,1.08
4.32,1.152
4.32,1.224
4.32,1.296
4.32,1.368
4.32,1.44
4.32,1.512
4.32,1.584
4.32,1.656
4.32,1.728
4.32,1.8
4.32,1.872
4.32,1.944
4.32,2.016
4.32,2.088
4.32,2.16
4.32,2.232
4.32,2.304
4.32,2.376
4.32,2.448
4.32,2.52
4.32,2.592
4.32,2.664
4.32,2.736
4.32,2.808
4.32,2.88
4.32,2.952
4.32,3.024
4.32,3.096
4.32,3.168
4.32,3.24
4.32,3.312
4.32,3.384
4.32,3.456
4.32,3.528
4.32,3.6
4.41,-3.6
4.41,-3.528
4.41,-3.456
4.41,-3.384
4.41,-3.312
4.41,-3.24
4.41,-3.168
4.41,-3.096
4.41,-3.024
4.41,-2.952
4.41,-2.88
4.41,-2.808
4.41,-2.736
4.41,-2.664
4.41,-2.592
4.41,-2.52
4.41,-2.448
4.41,-2.376
4.41,-2.304
4.41,-2.232
4.41,-2.16
4.41,-2.088
4.41,-2.016
4.41,-1.944
4.41,-1.872
4.41,-1.8
4.41,-1.728
4.41,-1.656
4.41,-1.584
4.41,-1.512
4.41,-1.44
4.41,-1.368
4.41,-1.296
4.41,-1.224
4.41,-1.152
4.41,-1.08
4.41,-1.008
4.41,-0.936
4.41,-0.864
4.41,-0.792
4.41,-0.72
4.41,-0.648
4.41,-0.576
4.41,-0.504
4.41,-0.432
4.41,-0.36
4.41,-0.288
4.41,-0.216
4.41,-0.144
4.41,-0.072
4.41,0
4.41,0.072
4.41,0.144
4.41,0.216
4.41,0.288
4.41,0.36
4.41,0.432
4.41,0.504
4.41,0.576
4.41,0.648
4.41,0.72
4.41,0.792
4.41,0.864
4.41,0.936
4.41,1.008
4.41,1.08
4.41,1.152
4.41,1.224
4.41,1.296
4.41,1.368
4.41,1.44
4.41,1.512
4.41,1.584
4.41,1.656
4.41,1.728
4.41,1.8
4.41,1.872
4.41,1.944
4.41,2.016
4.41,2.088
4.41,2.16
4.41,2.232
4.41,2.304
4.41,2.376
4.41,2.448
4.41,2.52
4.41,2.592
4.41,2.664
4.41,2.736
4.41,2.808
4.41,2.88
4.41,2.952
4.41,3.024
4.41,3.096
4.41,3.168
4.41,3.24
4.41,3.312
4.41,3.384
4.41,3.456
4.41,3.528
4.41,3.6
4.5,-3.6
4.5,-3.528
4.5,-3.456
4.5,-3.384
4.5,-3.312
4.5,-3.24
4.5,-3.168
4.5,-3.096
4.5,-3.024
4.5,-2.952
4.5,-2.88
4.5,-2.808
4.5,-2.736
4.5,-2.664
4.5,-2.592
4.5,-2.52
4.5,-2.448
4.5,-2.376
4.5,-2.304
4.5,-2.232
4.5,-2.16
4.5,-2.088
4.5,-2.016
4.5,-1.944
4.5,-1.872
4.5,-1.8
4.5,-1.728
4.5,-1.656
4.5,-1.584
4.5,-1.512
4.5,-1.44
4.5,-1.368
4.5,-1.296
4.5,-1.224
4.5,-1.152
4.5,-1.08
4.5,-1.008
4.5,-0.936
4.5,-0.864
4.5,-0.792
4.5,-0.72
4.5,-0.648
4.5,-0.576
4.5,-0.504
4.5,-0.432
4.5,-0.36
4.5,-0.288
4.5,-0.216
4.5,-0.144
4.5,-0.072
4.5,0
4.5,0.072
4.5,0.144
4.5,0.216
4.5,0.288
4.5,0.36
4.5,0.432
4.5,0.504
4.5,0.576
4.5,0.648
4.5,0.72
4.5,0.792
4.5,0.864
4.5,0.936
4.5,1.008
4.5,1.08
4.5,1.152
4.5,1.224
4.5,1.296
4.5,1.368
4.5,1.44
4.5,1.512
4.5,1.584
4.5,1.656
4.5,1.728
4.5,1.8
4.5,1.872
4.5,1.944
4.5,2.016
4.5,2.088
4.5,2.16
4.5,2.232
4.5,2.304
4.5,2.376
4.5,2.448
4.5,2.52
4.5,2.592
4.5,2.664
4.5,2.736
4.5,2.808
4.5,2.88
4.5,2.952
4.5,3.024
4.5,3.096
4.5,3.168
4.5,3.24
4.5,3.312
4.5,3.384
4.5,3.456
4.5,3.528
4.5,3.6
